cdi_id,year,status,pi_name,title,short_title,givenname,surname,pi_org,pi_missionarea,id
SOI-20-01,2020,funded,"Barnhart, Theodore B",Building a framework to compute continuous grids of basin characteristics for the conterminous United States,,Theodore,Barnhart,Wyoming-Montana Water Science Center,Water Resources,a2216571-96a4-4a29-b08f-eb9f8ce0507b
SOI-20-02,2020,phase 2 invite,"Bradford, John B",Implementing FAIR Data Principles to amEcohydrology Dataset Simulated at Fine Temporal and Spatial Scales for the Western United States,,John,Bradford,Southwest Biological Science Center,Ecosystems,769cb9e4-ade1-4852-8433-d094203693e5
SOI-20-03,2020,phase 2 invite,"Burnett, Jessica L","Informing the design, development, and dissemination of a conservation tool, USAvain: learning through co-production and synthesizing lessons learned",,Jessica,Burnett,Science Analytics and Synthesis,Core Science Systems,5b551d8d-c6bc-4421-b738-23592f488ccf
SOI-20-04,2020,funded,"Cravens, Amanda E","So you want to build a web-tool? Assessing successes, pitfalls, and lessons learned in an emerging frontier of scientific visualization",,Amanda,Cravens,Southwest Biological Science Center,Ecosystems,f20bca84-2118-4097-a166-82fc2adbf812
SOI-20-05,2020,funded,"Erickson, Richard A",Using Jupyter Notebooks to tell data stories and create reusable workflows,,Richard,Erickson,Upper Midwest Environmental Sciences Center,Ecosystems,7a48edd2-5cb7-46ea-958a-98c696522672
SOI-20-06,2020,funded,"Fox, Aaron J",USGS Cloud Environment Cookbook,,Aaron,Fox,Upper Midwest Environmental Sciences Center,Ecosystems,e22a2b18-f4a2-4985-b1ad-42365549e8eb
SOI-20-07,2020,funded,"Hitt, Nathaniel P",Enabling AI for citizen science in fish ecology,,Nathaniel,Hitt,Leetown Science Center,Ecosystems,409e9e96-c90f-484d-bcb2-417be3403ef5
SOI-20-08,2020,funded,"Hunter, Margaret E",Implementing FAIR practices: Storing and displaying eDNA data in the USGS Nonindigenous Aquatic Species database,,Margaret,Hunter,Wetland and Aquatic Research Center,Ecosystems,86495c69-0b3e-42e8-8399-40cafef020ed
SOI-20-09,2020,funded,"Kolb, Katharine","Developing a ""fire-aware"" stream gage network by integrating USGS enterprise databases",,Katharine,Kolb,South Atlantic Water Science Center,Water Resources,506f258e-5fa7-4a72-821d-49769984f8e4
SOI-20-10,2020,phase 2 invite,"Letcher, Benjamin",Visualizing environmental effects on animal movements,,Benjamin,Letcher,Conte Anadromous Fish Research Center,Ecosystems,c0cb316d-ec07-48be-a119-4bb81fe3bb34
SOI-20-11,2020,phase 2 invite,"Liu, Sophia B",USGS Open Innovation Forums and Workshop toInform theDesign of a Project Catalog and Toolkit,,Sophia,Liu,Science and Decisions Center,Energy and Minerals,4ba123b4-e9a3-4d32-b5b8-0369a83b8ea1
SOI-20-12,2020,phase 2 invite,"Martin, Julien",A framework for incorporating management objectives into an integrative predictive model to direct future eDNA monitoring,,Julien,Martin,Wetland and Aquatic Research Center,Ecosystems,80d074b3-9128-4fbe-a52e-75aeab35fa45
SOI-20-13,2020,funded,"Medenblik, Andrea S",Waterbody Rapid Assessment Tool (WaterRAT): 3-Dimensional Visualization of High-Resolution Spatial Data,,Andrea,Medenblik,South Atlantic Water Science Center,Water Resources,1cec274f-7c2a-4371-9821-3301e8c5858a
SOI-20-14,2020,phase 2 invite,"Miller, Mark P",Developing operational long-term forecasting capabilities at USGS: a test case from the USA National Phenology Network,,Mark,Miller,Office of Planning and Programming,Water Resources,0454b2ce-d954-48ea-bd5d-b531ecdba488
SOI-20-15,2020,phase 2 invite,"Nelson, Kurtis",Development and distribution of standardized data products from small UAS photo collections,,Kurtis,Nelson,Earth Resources Observation and Science Center,Land Resources,d525f632-87b5-40d9-ad4a-74c075a03856
SOI-20-16,2020,funded,"Peacock, Jared R",Development of a Flexible Multi-Channel Spatiotemporal Geophysical HDF5 Data Format Supporting FAIR,,Jared,Peacock,"Geology, Minerals, Energy, and Geophysics Science Center",Energy and Minerals,cef95ec8-dcc7-4075-944c-e18d90c255ff
